timestamp,ax,ay,az,gx,gy,gz,label
2025-10-09T11:08:10.104077,-14536,-1008,-7968,-426,223,-294,idle
2025-10-09T11:08:10.125535,-14596,-1036,-8028,-422,185,-314,idle
2025-10-09T11:08:10.147444,-14560,-980,-7876,-389,122,-304,idle
2025-10-09T11:08:10.169449,-14532,-864,-7912,-455,41,-229,idle
2025-10-09T11:08:10.191413,-14612,-876,-7812,-465,13,-119,idle
2025-10-09T11:08:10.213474,-14584,-940,-7960,-444,47,-87,idle
2025-10-09T11:08:10.235599,-14620,-1084,-7880,-526,15,-166,idle
2025-10-09T11:08:10.258188,-14496,-1072,-8004,-489,85,-201,idle
2025-10-09T11:08:10.280110,-14420,-1108,-7952,-394,99,-168,idle
2025-10-09T11:08:10.301995,-14556,-1044,-7892,-385,62,-163,idle
2025-10-09T11:08:10.324004,-14452,-1084,-7952,-372,22,-143,idle
2025-10-09T11:08:10.345606,-14432,-1052,-7980,-375,30,-113,idle
2025-10-09T11:08:10.368262,-14404,-1028,-8024,-335,100,-134,idle
2025-10-09T11:08:10.390038,-14416,-960,-8060,-368,113,-161,idle
2025-10-09T11:08:10.412226,-14476,-1068,-8032,-341,189,-209,idle
2025-10-09T11:08:10.434285,-14516,-1076,-7984,-358,181,-170,idle
2025-10-09T11:08:10.456184,-14452,-1068,-7968,-335,151,-115,idle
2025-10-09T11:08:10.477783,-14524,-1176,-8068,-329,130,-146,idle
2025-10-09T11:08:10.500206,-14552,-1028,-7980,-287,121,-140,idle
2025-10-09T11:08:10.522220,-14612,-908,-7996,-231,192,-147,idle
2025-10-09T11:08:10.543402,-14652,-868,-7876,-249,205,-195,idle
2025-10-09T11:08:10.566187,-14600,-788,-7928,-351,165,-129,idle
2025-10-09T11:08:10.587355,-14652,-808,-7944,-435,64,-14,idle
2025-10-09T11:08:10.610498,-14536,-912,-7900,-422,35,156,idle
2025-10-09T11:08:10.632443,-14552,-1024,-7972,-354,46,294,idle
2025-10-09T11:08:10.653316,-14460,-1156,-8028,-345,143,183,idle
2025-10-09T11:08:10.675339,-14456,-1156,-7992,-333,117,-8,idle
2025-10-09T11:08:10.699243,-14352,-1300,-8004,-321,145,-78,idle
2025-10-09T11:08:10.719543,-14348,-1268,-7880,-338,131,-138,idle
2025-10-09T11:08:10.741682,-14464,-1180,-7756,-311,143,-134,idle
2025-10-09T11:08:10.763663,-14388,-1172,-7912,-303,125,-125,idle
2025-10-09T11:08:10.785479,-14548,-988,-7812,-286,134,-202,idle
2025-10-09T11:08:10.807388,-14500,-964,-7864,-250,143,-231,idle
2025-10-09T11:08:10.829384,-14484,-980,-7848,-273,148,-163,idle
2025-10-09T11:08:10.851447,-14552,-1016,-7836,-336,140,-72,idle
2025-10-09T11:08:10.873321,-14472,-1112,-7908,-322,101,-22,idle
2025-10-09T11:08:10.895403,-14660,-1084,-7776,-324,106,-22,idle
2025-10-09T11:08:10.918133,-14648,-1164,-7804,-164,179,-60,idle
2025-10-09T11:08:10.939385,-14820,-1068,-7828,-93,144,-77,idle
2025-10-09T11:08:10.961082,-14844,-992,-7776,-84,69,-35,idle
2025-10-09T11:08:10.983435,-14584,-956,-7876,-270,-134,-74,idle
2025-10-09T11:08:11.005376,-14424,-1008,-7872,-190,-60,26,idle
2025-10-09T11:08:11.027358,-14636,-772,-8048,-297,-65,13,idle
2025-10-09T11:08:11.049433,-14524,-844,-7972,-364,-40,135,idle
2025-10-09T11:08:11.071451,-14444,-988,-8112,-432,-13,193,idle
2025-10-09T11:08:11.093414,-14368,-1100,-8232,-485,-26,243,idle
2025-10-09T11:08:11.115363,-14328,-968,-8008,-486,36,167,idle
2025-10-09T11:08:11.137384,-14272,-1116,-7848,-556,79,-6,idle
2025-10-09T11:08:11.159412,-14172,-1500,-7896,-605,77,-182,idle
2025-10-09T11:08:11.181721,-14304,-1412,-7916,-546,178,-361,idle
2025-10-09T11:08:11.203557,-14624,-892,-7744,-370,330,-487,idle
2025-10-09T11:08:11.225420,-14708,-752,-7724,-466,359,-542,idle
2025-10-09T11:08:11.247678,-14696,-1000,-7948,-601,354,-377,idle
2025-10-09T11:08:11.270055,-14632,-1140,-7828,-671,178,-149,idle
2025-10-09T11:08:11.291474,-14636,-1032,-7860,-573,137,32,idle
2025-10-09T11:08:11.313574,-14692,-936,-7744,-409,178,-50,idle
2025-10-09T11:08:11.336109,-14668,-1208,-7824,-278,218,-142,idle
2025-10-09T11:08:11.357699,-14568,-1128,-7840,-201,280,-154,idle
2025-10-09T11:08:11.379706,-14608,-1056,-7768,-278,227,-158,idle
2025-10-09T11:08:11.401554,-14628,-992,-7632,-389,169,-124,idle
2025-10-09T11:08:11.424261,-14592,-1056,-7804,-349,151,-118,idle
2025-10-09T11:08:11.446146,-14540,-1004,-7812,-232,193,3,idle
2025-10-09T11:08:11.468236,-14552,-1084,-7856,-171,121,15,idle
2025-10-09T11:08:11.489944,-14540,-1188,-7808,-159,150,25,idle
2025-10-09T11:08:11.512265,-14520,-1240,-7860,-157,200,-58,idle
2025-10-09T11:08:11.534379,-14524,-1188,-7880,-186,210,-108,idle
2025-10-09T11:08:11.556387,-14540,-1264,-7876,-184,183,-149,idle
2025-10-09T11:08:11.578152,-14484,-1080,-7792,-110,168,-181,idle
2025-10-09T11:08:11.600444,-14528,-1064,-7896,-151,156,-232,idle
2025-10-09T11:08:11.622444,-14540,-1136,-7960,-142,138,-172,idle
2025-10-09T11:08:11.644477,-14444,-1104,-7912,-176,137,-159,idle
2025-10-09T11:08:11.666178,-14584,-1220,-7944,-155,146,-124,idle
2025-10-09T11:08:11.687814,-14592,-1096,-7892,-168,221,-171,idle
2025-10-09T11:08:11.710400,-14516,-1084,-7984,-222,206,-190,idle
2025-10-09T11:08:11.731945,-14516,-1096,-8044,-238,223,-174,idle
2025-10-09T11:08:11.754044,-14612,-1000,-7992,-288,230,-145,idle
2025-10-09T11:08:11.775646,-14592,-1052,-7836,-303,213,-94,idle
2025-10-09T11:08:11.798326,-14560,-1120,-7868,-348,143,-60,idle
2025-10-09T11:08:11.820348,-14604,-1072,-8004,-285,141,-8,idle
