timestamp,ax,ay,az,gx,gy,gz,label
2025-10-09T11:15:34.549295,-14372,-1348,-8184,-218,97,-64,medium
2025-10-09T11:15:34.571215,-14420,-1556,-8248,-233,89,-47,medium
2025-10-09T11:15:34.593274,-14368,-1540,-8196,-234,38,-103,medium
2025-10-09T11:15:34.615154,-14252,-1584,-8264,-321,23,-64,medium
2025-10-09T11:15:34.637215,-14188,-1648,-8232,-337,66,74,medium
2025-10-09T11:15:34.660277,-14212,-1700,-8388,-374,161,14,medium
2025-10-09T11:15:34.682310,-14148,-1764,-8340,-315,274,-10,medium
2025-10-09T11:15:34.703880,-14216,-1648,-8260,-434,195,-195,medium
2025-10-09T11:15:34.725668,-14136,-1780,-8296,-330,219,-229,medium
2025-10-09T11:15:34.748218,-14272,-1692,-8304,-273,270,-188,medium
2025-10-09T11:15:34.769659,-14256,-1696,-8176,-345,245,-162,medium
2025-10-09T11:15:34.791975,-14296,-1696,-8308,-295,210,-83,medium
2025-10-09T11:15:34.813984,-14268,-1680,-8256,-310,259,-95,medium
2025-10-09T11:15:34.835987,-14276,-1620,-8172,-365,194,-18,medium
2025-10-09T11:15:34.857495,-14268,-1716,-8232,-375,210,-55,medium
2025-10-09T11:15:34.879983,-14240,-1720,-8324,-402,147,-33,medium
2025-10-09T11:15:34.901947,-14176,-1768,-8316,-314,204,-27,medium
2025-10-09T11:15:34.923541,-14168,-1768,-8320,-212,224,-96,medium
2025-10-09T11:15:34.946195,-14228,-1856,-8228,-201,256,-169,medium
2025-10-09T11:15:34.968027,-14248,-1664,-8316,-98,283,-118,medium
2025-10-09T11:15:34.990034,-14228,-1756,-8128,-100,321,-67,medium
2025-10-09T11:15:35.011853,-14188,-1976,-8332,-168,194,-106,medium
2025-10-09T11:15:35.033386,-14240,-1704,-8336,-225,152,-15,medium
2025-10-09T11:15:35.055299,-14312,-1656,-8260,-241,154,-41,medium
2025-10-09T11:15:35.077221,-14212,-1680,-8268,-276,194,-17,medium
2025-10-09T11:15:35.099168,-14196,-1688,-8332,-247,194,-4,medium
2025-10-09T11:15:35.121212,-14268,-1760,-8332,-277,243,-75,medium
2025-10-09T11:15:35.143497,-14160,-1748,-8284,-296,153,-141,medium
2025-10-09T11:15:35.165217,-14216,-1772,-8404,-248,54,-160,medium
2025-10-09T11:15:35.187249,-14200,-1860,-8200,-132,76,-94,medium
2025-10-09T11:15:35.209244,-14148,-1868,-8212,-70,155,-23,medium
2025-10-09T11:15:35.231119,-14224,-1824,-8300,-14,176,25,medium
2025-10-09T11:15:35.253150,-14284,-2040,-8156,96,170,59,medium
2025-10-09T11:15:35.275216,-14276,-2156,-8100,244,74,-26,medium
2025-10-09T11:15:35.297339,-14296,-2128,-8100,274,-82,-153,medium
2025-10-09T11:15:35.319519,-14228,-2108,-8364,370,-213,-288,medium
2025-10-09T11:15:35.341691,-14384,-1776,-8836,433,-191,-430,medium
2025-10-09T11:15:35.363356,-14196,-1424,-8968,254,-85,-475,medium
2025-10-09T11:15:35.385612,-13824,-1028,-9212,-242,-172,-524,medium
2025-10-09T11:15:35.407681,-13396,-616,-9700,-546,-151,-605,medium
2025-10-09T11:15:35.429481,-13008,52,-10292,-1171,-279,-858,medium
2025-10-09T11:15:35.451620,-12972,884,-10936,-1838,-5,-1639,medium
2025-10-09T11:15:35.473743,-12628,1872,-11700,-2741,136,-2096,medium
2025-10-09T11:15:35.495719,-12580,2664,-12324,-3802,659,-2460,medium
2025-10-09T11:15:35.517832,-12796,3108,-13024,-5324,1321,-2474,medium
2025-10-09T11:15:35.539935,-12600,2868,-14284,-7301,2055,-1964,medium
2025-10-09T11:15:35.561808,-13008,3392,-13864,-9389,2851,-1038,medium
2025-10-09T11:15:35.583847,-12764,3072,-15452,-11950,2861,-658,medium
2025-10-09T11:15:35.605766,-12720,2180,-15716,-13621,3449,-31,medium
2025-10-09T11:15:35.627728,-13100,2032,-15520,-14845,4216,786,medium
2025-10-09T11:15:35.649661,-13204,496,-15384,-14839,5734,1927,medium
2025-10-09T11:15:35.672005,-14224,-816,-14484,-15006,7302,2866,medium
2025-10-09T11:15:35.694334,-15668,-1092,-13476,-15933,7757,2722,medium
2025-10-09T11:15:35.715890,-15684,-1984,-12220,-16036,8135,2513,medium
2025-10-09T11:15:35.737954,-15660,-2620,-10632,-14775,8394,2824,medium
2025-10-09T11:15:35.760010,-15236,-4120,-9864,-12480,8687,3603,medium
2025-10-09T11:15:35.781824,-16076,-3608,-7916,-11474,7456,2885,medium
2025-10-09T11:15:35.803941,-15472,-2988,-7220,-10621,5814,2265,medium
2025-10-09T11:15:35.825610,-14424,-3160,-7024,-8676,4880,2397,medium
2025-10-09T11:15:35.848315,-13596,-2820,-6812,-6673,4086,2468,medium
2025-10-09T11:15:35.869699,-13092,-1792,-7152,-4806,3656,2516,medium
2025-10-09T11:15:35.891568,-12860,-524,-7608,-4070,3004,1965,medium
2025-10-09T11:15:35.913430,-12528,896,-8420,-3861,2369,667,medium
2025-10-09T11:15:35.935615,-11648,1964,-8716,-3149,2273,-43,medium
2025-10-09T11:15:35.958468,-11412,2064,-9676,-2399,2203,-445,medium
2025-10-09T11:15:35.980281,-11412,3008,-10180,-1759,1969,-692,medium
2025-10-09T11:15:36.002266,-11652,3896,-10512,-1471,1474,-926,medium
2025-10-09T11:15:36.024286,-11868,4408,-10740,-739,1244,-450,medium
2025-10-09T11:15:36.045980,-11860,4672,-10936,-457,962,101,medium
