timestamp,ax,ay,az,gx,gy,gz,label
2025-10-09T11:32:43.368458,-13484,-608,-9784,-307,228,-164,right
2025-10-09T11:32:43.392035,-13428,-492,-9864,-260,219,-54,right
2025-10-09T11:32:43.412567,-13596,-512,-9824,-258,184,-15,right
2025-10-09T11:32:43.434570,-13468,-492,-9908,-253,112,-15,right
2025-10-09T11:32:43.456557,-13452,-568,-9944,-217,146,32,right
2025-10-09T11:32:43.478552,-13392,-548,-9892,-239,161,11,right
2025-10-09T11:32:43.500900,-13352,-712,-9852,-288,239,-53,right
2025-10-09T11:32:43.523056,-13360,-612,-9956,-281,285,-81,right
2025-10-09T11:32:43.544864,-13428,-572,-9924,-274,327,-79,right
2025-10-09T11:32:43.567106,-13380,-532,-9828,-231,309,-117,right
2025-10-09T11:32:43.589049,-13480,-548,-9988,-193,286,-76,right
2025-10-09T11:32:43.610656,-13528,-508,-9960,-281,165,-39,right
2025-10-09T11:32:43.632760,-13380,-636,-9920,-372,125,42,right
2025-10-09T11:32:43.654944,-13388,-600,-9992,-398,137,33,right
2025-10-09T11:32:43.677019,-13344,-620,-9968,-439,155,-26,right
2025-10-09T11:32:43.698905,-13284,-764,-9972,-347,260,-31,right
2025-10-09T11:32:43.720809,-13288,-632,-9960,-272,352,-93,right
2025-10-09T11:32:43.743214,-13400,-628,-10016,-302,290,-239,right
2025-10-09T11:32:43.765239,-13332,-724,-9956,-319,245,-310,right
2025-10-09T11:32:43.787080,-13344,-560,-9856,-292,223,-262,right
2025-10-09T11:32:43.809283,-13396,-492,-9812,-276,171,-167,right
2025-10-09T11:32:43.831184,-13444,-508,-9940,-280,188,-59,right
2025-10-09T11:32:43.852843,-13376,-612,-9844,-257,130,-58,right
2025-10-09T11:32:43.876034,-13364,-788,-9932,-302,124,-109,right
2025-10-09T11:32:43.896628,-13272,-760,-9880,-205,103,-116,right
2025-10-09T11:32:43.918551,-13388,-696,-9924,-46,250,-126,right
2025-10-09T11:32:43.940643,-13420,-496,-9812,-36,240,-224,right
2025-10-09T11:32:43.962582,-13356,-648,-9868,-84,218,-323,right
2025-10-09T11:32:43.984586,-13352,-520,-9780,-105,216,-172,right
2025-10-09T11:32:44.006783,-13352,-584,-10052,-189,156,-118,right
2025-10-09T11:32:44.028501,-13244,-680,-10180,-178,212,-70,right
2025-10-09T11:32:44.050495,-13264,-868,-9868,-111,211,-115,right
2025-10-09T11:32:44.072476,-13116,-1012,-9936,-39,276,-245,right
2025-10-09T11:32:44.094491,-13020,-1080,-9984,119,329,-411,right
2025-10-09T11:32:44.116558,-13112,-764,-10036,214,446,-644,right
2025-10-09T11:32:44.138499,-12896,-328,-10392,258,616,-871,right
2025-10-09T11:32:44.160602,-12552,256,-10960,136,899,-1101,right
2025-10-09T11:32:44.182668,-12064,968,-11860,292,1290,-966,right
2025-10-09T11:32:44.204828,-12060,2976,-12452,884,2042,-616,right
2025-10-09T11:32:44.227007,-12304,4896,-12924,1199,3044,-493,right
2025-10-09T11:32:44.249044,-12328,6348,-13628,328,3669,-390,right
2025-10-09T11:32:44.270927,-12016,7864,-13964,-1046,3807,669,right
2025-10-09T11:32:44.293040,-11952,9764,-15092,-1830,4448,2901,right
2025-10-09T11:32:44.315191,-13060,12160,-15764,-1921,5852,6038,right
2025-10-09T11:32:44.337204,-15000,12308,-16836,-3675,6192,8917,right
2025-10-09T11:32:44.359379,-15340,11712,-18444,-6031,6601,11671,right
2025-10-09T11:32:44.381353,-16144,10728,-18452,-7499,8049,14724,right
2025-10-09T11:32:44.403322,-16828,8748,-18244,-10207,8969,16749,right
2025-10-09T11:32:44.425337,-17336,7200,-18060,-12978,9511,17997,right
2025-10-09T11:32:44.447361,-17424,5232,-17496,-14542,10094,19307,right
2025-10-09T11:32:44.469173,-17168,3060,-16608,-15202,10417,20768,right
2025-10-09T11:32:44.492497,-17164,984,-14968,-15486,10231,21220,right
2025-10-09T11:32:44.513079,-16640,312,-13148,-15486,9299,20567,right
2025-10-09T11:32:44.535126,-14960,168,-11908,-15095,8997,19215,right
2025-10-09T11:32:44.557170,-14568,1232,-10508,-14305,8727,17614,right
2025-10-09T11:32:44.579066,-13584,-612,-8676,-12353,9410,16541,right
2025-10-09T11:32:44.601170,-11564,1660,-10088,-11640,8322,13213,right
2025-10-09T11:32:44.622894,-8724,1324,-9576,-10022,6824,10961,right
2025-10-09T11:32:44.644765,-7760,3760,-8320,-8637,5680,8754,right
2025-10-09T11:32:44.666712,-6676,4468,-7572,-7530,4421,6521,right
2025-10-09T11:32:44.688754,-5792,4220,-7180,-6613,3767,4114,right
2025-10-09T11:32:44.710955,-5328,5584,-8232,-5842,2585,1893,right
2025-10-09T11:32:44.732617,-4532,6144,-9320,-3788,2126,43,right
2025-10-09T11:32:44.754790,-4724,7688,-9096,-2162,1130,-1199,right
2025-10-09T11:32:44.776584,-4228,7992,-9200,-355,289,-1871,right
2025-10-09T11:32:44.798933,-4348,9196,-9576,1267,-596,-2059,right
2025-10-09T11:32:44.821139,-4144,10716,-10356,2290,-1270,-2292,right
2025-10-09T11:32:44.843120,-4184,11676,-10952,2895,-1416,-1977,right
2025-10-09T11:32:44.865242,-4140,11864,-11132,2967,-1290,-1622,right
2025-10-09T11:32:44.887109,-4100,11904,-11296,2038,-1592,-1699,right
