timestamp,ax,ay,az,gx,gy,gz,label
2025-10-09T11:18:01.073234,-14848,-2676,-6664,-185,211,-60,fast
2025-10-09T11:18:01.095210,-14768,-2764,-6692,-265,95,-100,fast
2025-10-09T11:18:01.117441,-14868,-2672,-6692,-217,-35,-111,fast
2025-10-09T11:18:01.139289,-14760,-2704,-6824,-115,-14,-27,fast
2025-10-09T11:18:01.161292,-14832,-2672,-6744,-208,1,-22,fast
2025-10-09T11:18:01.183652,-14744,-2632,-6760,-366,96,-202,fast
2025-10-09T11:18:01.205961,-14700,-2748,-6832,-418,277,-289,fast
2025-10-09T11:18:01.228336,-14740,-2728,-6776,-365,304,-275,fast
2025-10-09T11:18:01.250325,-14784,-2740,-6912,-290,240,-217,fast
2025-10-09T11:18:01.272323,-14800,-2764,-6800,-127,115,-222,fast
2025-10-09T11:18:01.294350,-14808,-2468,-6984,-118,105,-251,fast
2025-10-09T11:18:01.316308,-14724,-2488,-6808,-204,154,-163,fast
2025-10-09T11:18:01.338104,-14676,-2460,-6868,-255,216,-119,fast
2025-10-09T11:18:01.359895,-14716,-2504,-6696,-231,364,-47,fast
2025-10-09T11:18:01.381961,-14856,-2568,-6768,-259,261,-76,fast
2025-10-09T11:18:01.403740,-14856,-2656,-6860,-287,136,-117,fast
2025-10-09T11:18:01.425713,-14756,-2692,-6816,-213,129,-78,fast
2025-10-09T11:18:01.448115,-14728,-2636,-6756,-218,122,-83,fast
2025-10-09T11:18:01.470154,-14668,-2752,-6928,-167,222,-3,fast
2025-10-09T11:18:01.492191,-14724,-2724,-6784,-177,230,-1,fast
2025-10-09T11:18:01.514070,-14860,-2828,-6700,-207,243,-87,fast
2025-10-09T11:18:01.536362,-14724,-2856,-6792,-159,193,-157,fast
2025-10-09T11:18:01.557444,-14808,-2604,-6732,-184,154,-117,fast
2025-10-09T11:18:01.579148,-14772,-2640,-6768,-238,199,-73,fast
2025-10-09T11:18:01.601217,-14840,-2528,-6756,-407,187,-45,fast
2025-10-09T11:18:01.623295,-14732,-2588,-6768,-394,171,-29,fast
2025-10-09T11:18:01.645309,-14700,-2788,-6812,-366,169,-2,fast
2025-10-09T11:18:01.667203,-14820,-2900,-6740,-337,8,-65,fast
2025-10-09T11:18:01.689163,-14856,-2940,-6632,-282,17,-167,fast
2025-10-09T11:18:01.711566,-14956,-2908,-6648,-179,-36,-199,fast
2025-10-09T11:18:01.733922,-14944,-3028,-6584,-13,32,-181,fast
2025-10-09T11:18:01.755382,-14932,-2976,-6408,45,-13,-191,fast
2025-10-09T11:18:01.777441,-14800,-2892,-6256,415,-18,-68,fast
2025-10-09T11:18:01.799643,-14764,-2920,-6516,592,-156,-37,fast
2025-10-09T11:18:01.821304,-14228,-2364,-7408,926,-189,30,fast
2025-10-09T11:18:01.843255,-13808,-2048,-8856,1857,382,286,fast
2025-10-09T11:18:01.865718,-13260,-476,-10660,1983,838,591,fast
2025-10-09T11:18:01.887467,-12136,1016,-12564,1178,1228,149,fast
2025-10-09T11:18:01.909626,-11408,2928,-15640,-615,1159,-687,fast
2025-10-09T11:18:01.932028,-11032,4160,-19548,-2182,1705,-1766,fast
2025-10-09T11:18:01.953980,-11664,5336,-21804,-3880,3196,-1819,fast
2025-10-09T11:18:01.975887,-13652,6320,-23056,-7249,5298,-1216,fast
2025-10-09T11:18:01.997994,-14636,4620,-24812,-12446,7644,-801,fast
2025-10-09T11:18:02.019912,-16284,3080,-23856,-18180,11054,1029,fast
2025-10-09T11:18:02.042081,-17672,1132,-22188,-23673,15242,3231,fast
2025-10-09T11:18:02.064152,-19208,-1904,-18500,-28131,19003,5504,fast
2025-10-09T11:18:02.086524,-20412,-5188,-15956,-29525,22615,8826,fast
2025-10-09T11:18:02.108172,-21168,-7456,-13332,-27351,25531,11912,fast
2025-10-09T11:18:02.130183,-21808,-8788,-10972,-24417,25672,12447,fast
2025-10-09T11:18:02.152597,-23044,-10580,-7040,-20876,23978,12087,fast
2025-10-09T11:18:02.174290,-20764,-10908,-5132,-17186,20312,10868,fast
2025-10-09T11:18:02.196544,-18988,-12012,-2688,-10658,16206,12854,fast
2025-10-09T11:18:02.217840,-12548,-7012,-2500,-4653,13310,7887,fast
2025-10-09T11:18:02.239541,-10876,-4172,-3888,-3702,6008,4526,fast
2025-10-09T11:18:02.261381,-8112,1244,-6180,-1141,4246,379,fast
2025-10-09T11:18:02.283784,-7652,4040,-8232,-2762,2771,-3107,fast
2025-10-09T11:18:02.305710,-6836,3884,-10672,-3894,3080,-4293,fast
2025-10-09T11:18:02.327673,-7788,5856,-11732,-4681,4624,-4296,fast
2025-10-09T11:18:02.349715,-8708,7680,-12132,-6299,4386,-3613,fast
2025-10-09T11:18:02.372104,-9008,8204,-12128,-6559,3054,-2772,fast
2025-10-09T11:18:02.394212,-8424,8240,-11768,-5217,1283,-1774,fast
2025-10-09T11:18:02.415686,-7784,7808,-11888,-3135,-254,-422,fast
2025-10-09T11:18:02.438186,-7464,8260,-12408,-1105,-1099,731,fast
2025-10-09T11:18:02.460223,-7280,8596,-12928,-697,-1995,533,fast
2025-10-09T11:18:02.482218,-6756,8692,-13324,-633,-1844,102,fast
2025-10-09T11:18:02.503913,-6672,7932,-13608,-808,-1237,-34,fast
2025-10-09T11:18:02.526132,-6340,7716,-13768,-999,-419,-33,fast
2025-10-09T11:18:02.547929,-6496,7880,-13568,-1074,55,11,fast
2025-10-09T11:18:02.569795,-6600,8168,-13276,-1707,-328,-38,fast
